engine_id,cycle,RUL,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_20,sensor_21,sensor_2_roll_mean,sensor_2_roll_std,sensor_3_roll_mean,sensor_3_roll_std,sensor_4_roll_mean,sensor_4_roll_std,sensor_7_roll_mean,sensor_7_roll_std,sensor_8_roll_mean,sensor_8_roll_std,sensor_9_roll_mean,sensor_9_roll_std,sensor_11_roll_mean,sensor_11_roll_std,sensor_12_roll_mean,sensor_12_roll_std,sensor_13_roll_mean,sensor_13_roll_std,sensor_14_roll_mean,sensor_14_roll_std,sensor_15_roll_mean,sensor_15_roll_std,sensor_20_roll_mean,sensor_20_roll_std,sensor_21_roll_mean,sensor_21_roll_std,sensor_2_diff,sensor_3_diff,sensor_4_diff,sensor_7_diff,sensor_8_diff,sensor_9_diff,sensor_11_diff,sensor_12_diff,sensor_13_diff,sensor_14_diff,sensor_15_diff,sensor_20_diff,sensor_21_diff,sensor_2_lag1,sensor_3_lag1,sensor_4_lag1,sensor_7_lag1,sensor_8_lag1,sensor_9_lag1,sensor_11_lag1,sensor_12_lag1,sensor_13_lag1,sensor_14_lag1,sensor_15_lag1,sensor_20_lag1,sensor_21_lag1
1,5,125.0,642.37,1582.85,1406.22,554.0,2388.06,9055.15,47.28,522.19,2388.04,8133.8,8.4294,38.9,23.4044,642.208,0.23477648945326032,1587.03,4.075677857731061,1403.206,2.1594397421554934,554.164,0.28623416986798034,2388.07,0.026457513110675557,9049.566,4.587366346826665,47.328,0.1510629008062543,522.2819999999999,0.4325736931436925,2388.048,0.025884358211077006,8134.194,2.6513260833027052,8.41334,0.025952610658660613,38.958000000000006,0.07362064927722592,23.39302,0.03349838802091893,0.01999999999998181,0.05999999999994543,4.350000000000136,-0.4500000000000455,-0.0500000000001819,5.670000000000073,0.14999999999999858,-0.6699999999999591,-0.03999999999996362,-0.02999999999974534,0.06119999999999948,0.01999999999999602,0.03049999999999997,642.35,1582.79,1401.87,554.45,2388.11,9049.48,47.13,522.86,2388.08,8133.83,8.3682,38.88,23.3739
1,6,125.0,642.1,1584.47,1398.37,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,38.98,23.3669,642.2639999999999,0.12837445228709887,1585.984,3.8858306705257397,1402.76,2.9263373011326643,554.226,0.3626706494879326,2388.0620000000004,0.034928498393254154,9050.264,4.193903909247076,47.266000000000005,0.141527382509538,522.2860000000001,0.4254174420495253,2388.05,0.023452078799018256,8133.039999999999,0.9586970324353721,8.4116,0.025727028588626896,38.942,0.051185935568282374,23.382600000000004,0.03143636429360138,-0.2699999999999818,1.6200000000001182,-7.850000000000136,0.6699999999999591,-0.03999999999996362,-5.469999999999345,-0.12000000000000455,-0.5100000000001046,-0.009999999999763531,-0.9499999999998181,-0.018599999999999284,0.0799999999999983,-0.03749999999999787,642.37,1582.85,1406.22,554.0,2388.06,9055.15,47.28,522.19,2388.04,8133.8,8.4294,38.9,23.4044
1,7,125.0,642.48,1592.32,1397.77,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,39.1,23.3774,642.3300000000002,0.1394632568098466,1586.084,4.0753748293867105,1401.6860000000001,3.6483599054917457,554.3439999999999,0.24643457549620706,2388.058,0.03898717737939796,9053.276,4.038406864098276,47.239999999999995,0.09407443861113939,522.294,0.4256524403782537,2388.0420000000004,0.021679483388530606,8133.206,0.6431407311004597,8.40472,0.023475774747599116,38.962,0.08671793355471685,23.373359999999998,0.02163407035210933,0.37999999999999545,7.849999999999909,-0.599999999999909,-0.32999999999992724,0.0,9.449999999998909,0.20000000000000284,0.6400000000001,0.0,-0.5300000000006548,-0.013400000000000745,0.12000000000000455,0.010500000000000398,642.1,1584.47,1398.37,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,38.98,23.3669
1,8,125.0,642.56,1582.96,1400.97,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,38.97,23.3106,642.372,0.1742699056062101,1585.078,4.1079520445104905,1401.0399999999997,3.3670461832293315,554.2620000000001,0.3340209574263221,2388.042,0.043817804600784674,9050.848000000002,6.915502150965002,47.234,0.09262828941528127,522.3040000000001,0.42991859694593654,2388.042,0.021679483388530606,8132.773999999999,1.1492736836807915,8.40268,0.022476921497394,38.966,0.08648699324176021,23.36664,0.03440513043137711,0.07999999999992724,-9.3599999999999,3.2000000000000455,-0.4900000000000091,-0.01999999999998181,-18.329999999999927,-0.11999999999999744,0.14999999999997726,0.0,-1.25,0.010200000000001097,-0.13000000000000256,-0.06680000000000064,642.48,1592.32,1397.77,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,39.1,23.3774
1,9,125.0,642.12,1590.98,1394.8,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,39.05,23.4066,642.326,0.2085185843036552,1586.716,4.573962177368669,1399.626,4.2895139584804465,554.11,0.39452503089156354,2388.0299999999997,0.024494897428649572,9050.244,7.191239809657589,47.266,0.07334848328357221,522.09,0.3411011580162096,2388.036,0.008944271909670084,8131.146000000001,3.2054375676344873,8.4036,0.020739816778361557,39.0,0.07713624310271007,23.37318,0.03893933743658289,-0.4399999999999409,8.019999999999982,-6.170000000000073,-0.15999999999996817,0.0500000000001819,5.6599999999998545,0.04999999999999716,-0.6800000000000637,0.01999999999998181,-5.380000000000109,-0.03480000000000061,0.0799999999999983,0.09600000000000009,642.56,1582.96,1400.97,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,38.97,23.3106
1,10,125.0,641.71,1591.24,1400.46,553.59,2388.05,9051.7,47.03,521.79,2388.06,8129.38,8.4286,38.95,23.4694,642.1940000000001,0.34070515112045074,1588.394,4.333783566354014,1398.474,2.4586032620164424,554.028,0.46023906831122813,2388.028,0.021679483389749836,9049.554,6.755115098945898,47.215999999999994,0.1270039369468606,522.01,0.3582596823534646,2388.04,0.014142135623535204,8130.262,2.883881065509106,8.40344,0.020492632822553966,39.010000000000005,0.06284902544988417,23.38618,0.05810268496377873,-0.40999999999996817,0.2599999999999909,5.660000000000082,-0.10000000000002274,0.0,5.240000000001601,-0.259999999999998,0.0,0.009999999999763531,3.6900000000005093,0.05579999999999963,-0.09999999999999432,0.0627999999999993,642.12,1590.98,1394.8,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,39.05,23.4066
1,11,125.0,642.28,1581.75,1400.64,554.54,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,38.94,23.4787,642.2299999999999,0.33778691508109676,1587.85,5.059446610055308,1398.928,2.6376637389929716,554.0020000000001,0.416497298910792,2388.034,0.02302172886730075,9049.539999999999,6.754861212490373,47.214,0.12817956155332297,521.954,0.4361536426535884,2388.036,0.01949358868943982,8131.808,5.501815155019402,8.40808,0.024758271345149473,39.001999999999995,0.06978538528947253,23.40854,0.06926772697295763,0.5699999999999363,-9.490000000000009,0.18000000000006366,0.9499999999999318,0.0,-2.0900000000001455,0.11999999999999744,-0.38999999999998636,-0.04999999999972715,11.199999999999818,0.005399999999999849,-0.010000000000005116,0.009299999999999642,641.71,1591.24,1400.46,553.59,2388.05,9051.7,47.03,521.79,2388.06,8129.38,8.4286,38.95,23.4694
1,12,125.0,642.06,1583.41,1400.15,554.52,2388.09,9049.37,47.18,521.8,2388.02,8134.25,8.3938,39.06,23.366,642.146,0.3112555220393784,1586.068,4.643465300828656,1399.404,2.5907778754649864,554.038,0.45866109492737595,2388.0480000000002,0.03193743884565442,9047.588,4.228530477603912,47.178000000000004,0.09884331034522933,521.85,0.38619943034651577,2388.034,0.020736441353184136,8132.194,5.6132904788547044,8.40736,0.02519499950387056,38.994,0.05683308895353199,23.40626,0.07072134048503459,-0.22000000000002728,1.6600000000000819,-0.4900000000000091,-0.01999999999998181,0.03999999999996362,-0.23999999999978172,0.030000000000001137,0.39999999999997726,0.009999999999763531,-6.329999999999927,-0.04019999999999868,0.12000000000000455,-0.11270000000000024,642.28,1581.75,1400.64,554.54,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,38.94,23.4787
1,13,125.0,643.07,1582.19,1400.83,553.44,2388.12,9046.82,47.38,521.85,2388.08,8128.1,8.4152,38.93,23.2757,642.248,0.5044501957577402,1585.9140000000002,4.782983378603747,1399.3760000000002,2.570297648133142,553.956,0.5315355115135498,2388.072,0.031937438844992325,9048.792,2.167180195556719,47.206,0.13427583550290326,521.7259999999999,0.18392933425622976,2388.044,0.0288097205817033,8131.6,5.911205460817653,8.40888,0.02544114777285122,38.986000000000004,0.06348228099241568,23.399279999999997,0.08315273296771541,1.0100000000001046,-1.2200000000000273,0.6799999999998363,-1.0799999999999272,0.02999999999974534,-2.5500000000010914,0.20000000000000284,0.05000000000006821,0.05999999999994543,-6.149999999999636,0.021399999999999864,-0.13000000000000256,-0.09029999999999916,642.06,1583.41,1400.15,554.52,2388.09,9049.37,47.18,521.8,2388.02,8134.25,8.3938,39.06,23.366
1,14,125.0,642.35,1592.95,1399.16,554.48,2388.09,9047.37,47.44,521.67,2388.0,8134.43,8.3964,39.18,23.3826,642.294,0.5003298911718307,1586.308,5.351926755851561,1400.248,0.6577765578063361,554.114,0.549799963623109,2388.08,0.02999999999946492,9048.973999999998,1.9496743317822016,47.236000000000004,0.1697939928266061,521.702,0.18130085493439563,2388.034,0.03435112807444441,8133.348000000001,4.938944219162438,8.413599999999999,0.01824554740204016,39.012,0.10756393447619905,23.394479999999998,0.08331708708302366,-0.7200000000000273,10.759999999999991,-1.6699999999998454,1.0399999999999636,-0.02999999999974534,0.5500000000010914,0.05999999999999517,-0.18000000000006366,-0.07999999999992724,6.329999999999927,-0.018800000000000594,0.25,0.10689999999999955,643.07,1582.19,1400.83,553.44,2388.12,9046.82,47.38,521.85,2388.08,8128.1,8.4152,38.93,23.2757
